Video name,Uploader,Views,Upload date,Date achieved,Days held
"""Baby Shark Dance""[3]",Pinkfong Baby Shark - Kids' Songs & Stories,"7,037,500,000","June 17, 2016","November 2, 2020",450
"""Despacito""[6]",Luis Fonsi,"2,993,700,000","January 12, 2017","August 4, 2017","1,186"
"""See You Again""[15]",Wiz Khalifa,"2,894,000,000","April 6, 2015","July 10, 2017",25
"""Gangnam Style""⁂[25]",Psy,"803,700,000","July 15, 2012","November 24, 2012","1,689"
"""Baby""*[59]",Justin Bieber,"245,400,000","February 19, 2010","July 16, 2010",862
"""Bad Romance""[63]",Lady Gaga,"178,400,000","November 24, 2009","April 14, 2010",93
"""Charlie Bit My Finger""‡[67]",HDCYT,"128,900,000","May 22, 2007","October 25, 2009",171
"""Evolution of Dance""[69]",Judson Laipply,"118,900,000","April 6, 2006","May 2, 2009",176
"""Girlfriend""‡[71][72]",RCA Records,"92,600,000","February 27, 2007","July 17, 2008",289
"""Evolution of Dance""[69]",Judson Laipply,"78,400,000","April 6, 2006","March 15, 2008",124
"""Music Is My Hot Hot Sex""‡[75]",CLARUSBARTEL72,"76,600,000","April 9, 2007","March 1, 2008",14
"""Evolution of Dance""*[69]",Judson Laipply,"10,600,000","April 6, 2006","May 19, 2006",652
"""Pokemon Theme Music Video""‡[80]",Smosh,"4,300,000","November 28, 2005","March 12, 2006",68
"""Myspace – The Movie""‡[84][85]",eggtea,"2,700,000","January 31, 2006","February 18, 2006",22
"""Phony Photo Booth""‡[87]",mugenized,"3,400,000","December 1, 2005","January 21, 2006",28
"""The Chronic of Narnia Rap""‡[89]",youtubedude,"2,300,000","December 18, 2005","January 9, 2006",12
"""Ronaldinho: Touch of Gold""‡*[91]",Nikesoccer,"255,000","October 21, 2005","October 31, 2005",70
"""I/O Brush""‡*[94]",larfus,"247,000","October 5, 2005","October 29, 2005",2
"""Me at the zoo""[96]",jawed,1,"April 23, 2005","April 23, 2005",1
